nc Variable	Variable	Units	Description

metavar1	Cruise		
metavar2	Station		
metavar3	Type		
longitude	Longitude	degrees_east	
latitude	Latitude	degrees_north	
metavar4	Bot. Depth	m	
metavar5	Cruise Metadata		
date_time	Decimal Gregorian Days of the station	days since 1981-01-01 00:00:00 UTC	Relative Gregorian Days with decimal part
			
var1	PRESSURE	DBAR	
var2	DEPTH	M	
var3	TEMPERATURE	DEG C	
var4	SALNTY	PSS-78	
var5	OXYGEN	UMOL/KG	
var6	PHSPHT	UMOL/KG	
var7	SILCAT	UMOL/KG	
var8	NITRAT	UMOL/KG	
var9	NITRIT	UMOL/KG	
var10	ALKALI	UMOL/KG	
var11	TCARBN	UMOL/KG	
var12	CFC-11	PMOL/KG	
var13	CFC-12	PMOL/KG	
var14	CFC-113	PMOL/KG	
var15	CCL4	PMOL/KG	
var16	SF6	FMOL/KG	
var17	DELC13	/MILLE	
var18	DELC14	/MILLE	
var19	TRITUM	TU	
var20	DELHE3	PERCNT	
var21	HELIUM	NMOL/KG	
var22	NEON	NMOL/KG	
var23	O18/O16	/MILLE	
var24	TOC	UMOL/KG	
var25	DOC	UMOL/KG	
var26	DON	UMOL/KG	
var27	TDN	UMOL/KG	
var28	CHLORA	UG/KG	
var29	pH~_T	p=0,T=25,S	
var30	pH~_T	p,T,S	
var31	THETA	DEG C	
var32	SIGMA0	KG/M**3	
var33	SIGMA1	KG/M**3	
var34	SIGMA2	KG/M**3	
var35	SIGMA3	KG/M**3	
var36	SIGMA4	KG/M**3	
var37	NEUTRAL DENSITY	KG/M**3	
var38	AOU	UMOL/KG	
var39	pCFC-11	PPTV	
var40	pCFC-12	PPTV	
var41	pCFC-113	PPTV	
var42	pCCL4	PPTV	
var43	pSF6	PPTV	
var44	CASTNO		
var45	BOTTLENO		
