	N3n open WIN	N3n open SUM	N3n coast WIN	N3n coast SUM	N1p open WIN	N1p open SUM	N1p coast WIN	N1p coast SUM
	mmolN m-2 s-1	mmolN m-2 s-1	mmolN m-2 s-1	mmolN m-2 s-1	mmolP m-2 s-1	mmolP m-2 s-1	mmolP m-2 s-1	mmolP m-2 s-1
alb	1.28E-06	9.03E-07	1.21E-06	1.28E-06	4.01E-08	3.49E-08	5.02E-08	5.11E-08
swm1	1.23E-06	6.89E-07	1.23E-06	7.55E-07	3.10E-08	3.43E-08	4.10E-08	3.82E-08
swm2	1.23E-06	6.89E-07	1.23E-06	7.55E-07	3.10E-08	3.43E-08	4.10E-08	3.82E-08
nwm	1.58E-06	6.38E-07	1.75E-06	9.08E-07	2.10E-08	2.79E-08	3.52E-08	3.12E-08
tyr1	1.27E-06	4.92E-07	1.72E-06	7.19E-07	2.24E-08	2.48E-08	2.59E-08	2.98E-08
tyr2	1.27E-06	4.92E-07	1.72E-06	7.19E-07	2.24E-08	2.48E-08	2.59E-08	2.98E-08
adr1	1.44E-06	5.36E-07	1.99E-06	8.26E-07	2.48E-08	1.63E-08	1.54E-08	1.92E-08
adr2	1.44E-06	5.36E-07	1.99E-06	8.26E-07	2.48E-08	1.63E-08	1.54E-08	1.92E-08
aeg	1.19E-06	4.88E-07	1.35E-06	5.66E-07	2.18E-08	1.43E-08	2.53E-08	1.91E-08
ion1	1.09E-06	3.50E-07	8.40E-07	3.94E-07	3.21E-08	1.38E-08	4.25E-08	2.10E-08
ion2	1.09E-06	3.50E-07	8.40E-07	3.94E-07	3.21E-08	1.38E-08	4.25E-08	2.10E-08
ion3	1.09E-06	3.50E-07	8.40E-07	3.94E-07	3.21E-08	1.38E-08	4.25E-08	2.10E-08
lev1	1.24E-06	4.02E-07	1.53E-06	6.78E-07	2.62E-08	6.61E-09	3.69E-08	1.93E-08
lev2	1.24E-06	4.02E-07	1.53E-06	6.78E-07	2.62E-08	6.61E-09	3.69E-08	1.93E-08
lev3	1.24E-06	4.02E-07	1.53E-06	6.78E-07	2.62E-08	6.61E-09	3.69E-08	1.93E-08
lev4	1.24E-06	4.02E-07	1.53E-06	6.78E-07	2.62E-08	6.61E-09	3.69E-08	1.93E-08
